호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
1호선,서울역,22,1,0,"[26, 23, 24, 27, 24, 22, 13, 14, 12, 11]",10
1호선,서울역,22,1,1,"[30, 35, 30, 24, 27, 24, 19, 16, 12, 13]",9
1호선,서울역,23,0,0,"[11, 9, 9, 11, 8, 8, 11, 11, 10, 14]",5
1호선,서울역,23,0,1,"[11, 10, 14, 9, 18, 17, 17, 10, 17, 19]",4
1호선,서울역,23,1,0,"[15, 10, 15, 15, 13, 12, 9, 6, 7, 11]",8
1호선,서울역,23,1,1,"[16, 20, 17, 23, 14, 18, 16, 11, 13, 10]",10
1호선,서울역,0,0,0,"[24, 26, 24, 31, 23, 31, 23, 23, 30, 35]",5
1호선,서울역,0,0,1,"[18, 12, 14, 18, 20, 17, 20, 14, 19, 21]",2
1호선,서울역,0,1,0,"[27, 25, 19, 20, 20, 16, 14, 16, 11, 11]",9
1호선,서울역,0,1,1,"[17, 17, 13, 11, 14, 10, 8, 8, 6, 8]",9
1호선,시청역,5,0,0,"[17, 18, 21, 22, 22, 25, 19, 18, 23, 28]",1
1호선,시청역,5,0,1,"[17, 11, 12, 18, 17, 16, 18, 13, 17, 17]",2
1호선,시청역,5,1,0,"[29, 25, 22, 22, 23, 18, 16, 17, 13, 13]",9
1호선,시청역,5,1,1,"[20, 20, 17, 11, 17, 10, 9, 8, 7, 7]",9
1호선,시청역,6,0,0,"[17, 18, 21, 22, 22, 25, 19, 18, 23, 28]",1
1호선,시청역,6,0,1,"[17, 11, 12, 18, 17, 16, 18, 13, 17, 17]",2
1호선,시청역,6,1,0,"[29, 25, 22, 22, 23, 18, 16, 17, 13, 13]",9
1호선,시청역,6,1,1,"[20, 20, 17, 11, 17, 10, 9, 8, 7, 7]",9
1호선,시청역,7,0,0,"[38, 46, 50, 60, 53, 63, 52, 50, 57, 60]",1
1호선,시청역,7,0,1,"[11, 11, 10, 15, 16, 18, 14, 11, 16, 15]",3
1호선,시청역,7,1,0,"[66, 55, 53, 57, 52, 43, 40, 36, 34, 32]",10
1호선,시청역,7,1,1,"[18, 20, 18, 17, 18, 14, 9, 10, 8, 8]",9
1호선,시청역,8,0,0,"[55, 68, 70, 87, 87, 92, 91, 75, 85, 86]",1
1호선,시청역,8,0,1,"[17, 20, 21, 23, 30, 25, 30, 21, 24, 25]",1
1호선,시청역,8,1,0,"[79, 63, 66, 66, 60, 55, 51, 52, 44, 45]",9
1호선,시청역,8,1,1,"[30, 25, 27, 26, 27, 19, 17, 15, 11, 9]",10
1호선,시청역,9,0,0,"[33, 41, 44, 52, 58, 54, 55, 53, 59, 54]",1
1호선,시청역,9,0,1,"[23, 26, 26, 42, 38, 45, 34, 35, 39, 34]",1
1호선,시청역,9,1,0,"[44, 38, 36, 38, 33, 26, 23, 23, 25, 25]",7
1호선,시청역,9,1,1,"[38, 30, 30, 34, 27, 25, 20, 16, 15, 14]",10
1호선,시청역,10,0,0,"[25, 30, 34, 41, 47, 39, 41, 41, 44, 41]",1
1호선,시청역,10,0,1,"[27, 35, 38, 48, 49, 49, 44, 36, 48, 37]",1
1호선,시청역,10,1,0,"[28, 30, 29, 28, 30, 21, 19, 15, 16, 14]",10
1호선,시청역,10,1,1,"[33, 41, 36, 34, 37, 28, 26, 19, 18, 15]",10
1호선,시청역,11,0,0,"[22, 27, 33, 37, 39, 38, 35, 34, 38, 33]",1
1호선,시청역,11,0,1,"[33, 39, 45, 53, 56, 50, 53, 46, 43, 47]",1
1호선,시청역,11,1,0,"[30, 30, 29, 30, 27, 25, 20, 16, 12, 15]",9
1호선,시청역,11,1,1,"[44, 44, 43, 40, 37, 35, 29, 22, 18, 20]",9
1호선,시청역,12,0,0,"[23, 29, 29, 39, 40, 40, 35, 39, 38, 35]",1
1호선,시청역,12,0,1,"[29, 36, 40, 49, 55, 49, 46, 46, 46, 44]",1
1호선,시청역,12,1,0,"[37, 34, 35, 34, 37, 30, 26, 21, 15, 15]",9
1호선,시청역,12,1,1,"[50, 47, 45, 43, 45, 39, 34, 25, 21, 19]",10
1호선,시청역,13,0,0,"[21, 25, 26, 32, 34, 33, 31, 30, 35, 30]",1
1호선,시청역,13,0,1,"[34, 34, 43, 56, 52, 51, 49, 42, 48, 46]",1
1호선,시청역,13,1,0,"[39, 38, 35, 36, 37, 33, 26, 22, 17, 17]",9
1호선,시청역,13,1,1,"[52, 51, 47, 49, 47, 42, 35, 32, 26, 20]",10
1호선,시청역,14,0,0,"[17, 19, 22, 24, 25, 28, 25, 23, 26, 24]",1
1호선,시청역,14,0,1,"[28, 27, 36, 47, 47, 47, 42, 37, 42, 42]",2
1호선,시청역,14,1,0,"[39, 38, 40, 39, 35, 32, 28, 24, 19, 14]",10
1호선,시청역,14,1,1,"[59, 57, 60, 53, 51, 46, 42, 36, 25, 21]",10
1호선,시청역,15,0,0,"[20, 19, 22, 27, 25, 27, 26, 24, 27, 31]",2
