연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
912.0,주말,2,226,사당,하행,63.45,64.9,63.0,66.825,52.925,45.525,50.375,43.375,36.375,27.049999999999997,24.425,24.5,22.025000000000002,21.225
909.0,주말,2,227,낙성대,상행,25.175,30.125,34.75,44.2,41.85,44.475,57.6,57.150000000000006,61.099999999999994,52.875,52.650000000000006,61.275,57.325,42.175
910.0,주말,2,227,낙성대,하행,61.224999999999994,63.85,60.900000000000006,61.925000000000004,52.7,43.474999999999994,51.525,40.75,35.95,27.85,23.525,23.525,23.275,23.925
907.0,주말,2,228,서울대입구,상행,24.375,28.45,33.25,42.150000000000006,40.325,40.8,53.875,51.925000000000004,54.2,46.875,47.425000000000004,54.575,50.05,38.975
908.0,주말,2,228,서울대입구,하행,58.95,60.474999999999994,56.075,57.175,48.7,40.475,48.975,38.900000000000006,35.15,27.5,23.65,24.475,24.450000000000003,26.299999999999997
905.0,주말,2,229,봉천,상행,25.025,29.875000000000004,33.625,43.625,41.1,40.25,52.425,49.925000000000004,51.224999999999994,44.800000000000004,43.75,51.5,47.65,36.05
906.0,주말,2,229,봉천,하행,52.9,54.0,49.375,50.5,43.825,36.8,45.225,37.15,33.8,26.675,24.3,23.575000000000003,24.75,24.525
903.0,주말,2,230,신림,상행,26.75,32.1,35.45,44.525000000000006,41.025000000000006,38.55,49.099999999999994,44.625,43.85,38.05,35.8,41.150000000000006,40.625,25.45
904.0,주말,2,230,신림,하행,47.75,50.375,48.5,47.150000000000006,41.425,35.525,47.125,35.4,35.900000000000006,27.575000000000003,25.575000000000003,25.25,26.3,27.625
901.0,주말,2,231,신대방,상행,29.8,34.2,37.975,46.875,42.724999999999994,38.65,49.75,43.575,42.575,36.95,33.550000000000004,36.650000000000006,37.65,24.225
902.0,주말,2,231,신대방,하행,39.625,41.8,40.35,39.85,36.1,32.2,44.45,35.075,37.625,30.85,29.075,30.15,31.375,37.8
899.0,주말,2,232,구로디지털단지,상행,34.8,39.925,43.4,52.275000000000006,47.625,41.1,52.25,45.0,43.5,37.275000000000006,32.575,34.975,34.9,21.725
900.0,주말,2,232,구로디지털단지,하행,36.675,40.15,39.425000000000004,38.375,36.575,32.95,45.575,37.7,40.4,33.35,33.775,33.45,37.525000000000006,41.575
897.0,주말,2,233,대림,상행,38.05,42.125,48.425,55.6,48.75,45.800000000000004,50.5,43.775000000000006,43.2,36.525000000000006,30.55,31.35,28.35,18.85
898.0,주말,2,233,대림,하행,35.875,39.099999999999994,38.45,40.150000000000006,39.675,37.45,49.45,43.175000000000004,45.7,38.9,39.875,40.725,46.675,51.55
895.0,주말,2,234,신도림,상행,40.125,50.35,54.975,65.82499999999999,53.849999999999994,49.025,55.875,42.125,40.0,32.375,28.15,22.15,22.075,15.925
896.0,주말,2,234,신도림,하행,35.974999999999994,37.7,37.95,39.0,38.725,37.525000000000006,44.075,46.150000000000006,45.95,37.5,44.5,45.325,42.475,34.625
893.0,주말,2,235,문래,상행,39.525,47.0,55.525000000000006,64.85,55.400000000000006,50.725,56.475,50.75,43.425,32.400000000000006,28.700000000000003,28.35,33.4,25.549999999999997
894.0,주말,2,235,문래,하행,31.5,31.125,34.75,35.475,38.175000000000004,40.225,51.3,52.5,51.15,50.85,57.125,60.725,57.425,45.0
891.0,주말,2,236,영등포구청,상행,40.35,46.625,59.35,63.2,55.900000000000006,51.1,57.625,50.875,42.825,32.275000000000006,27.5,27.775,31.0,23.875
